"cty","Name","Household_Income_rA_gP_pall","Incarceration_Rate_rA_gP_pall","Teenage_Birth_Rate_women_only_rA_gP_pall","Individual_Income_Excluding_Spouse_rA_gP_pall","Fraction_Married_rA_gP_pall","Spouse's_Income_rA_gP_pall","Employment_Rate_rA_gP_pall","High_School_Graduation_Rate_rA_gP_pall","College_Graduation_Rate_rA_gP_pall","Hours_Worked_Per_Week_rA_gP_pall","Hourly_Wage_$/hour_rA_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rA_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rA_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rA_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rA_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rA_gP_pall","%_Staying_in_Same_Tract_as_Adults_rA_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rA_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rA_gP_pall","Household_Income_for_U.S._Natives_rA_gP_pall","Household_Income_for_Immigrants_rA_gP_pall","Individual_Income_for_U.S._Natives_rA_gP_pall","Individual_Income_for_Immigrants_rA_gP_pall","Number_of_Children_rA_gP_pall"
"cty24003","Anne Arundel County, MD",59932,0.0017,,38104,0.5324,47610,0.8109,0.9382,0.5414,34,21,0.3665,0.0195,0.3522,0.0196,0.5927,0.2213,55116,37138,44261,69582,28152,42701,2615
"cty24005","Baltimore County, MD",63109,0,,40476,0.541,46924,0.7915,0.9229,0.6744,35,23,0.3998,0.0326,0.4234,0.0302,0.5778,0.2228,51787,36233,57223,69822,34697,45243,5816
"cty24013","Carroll County, MD",61897,0.0006,,38217,0.4779,64318,0.8504,0.9221,0.6394,,,0.4064,0.0405,0.3447,0.0154,0.5481,0.1417,63326,37629,,53318,,32379,363
"cty24025","Harford County, MD",68031,0.0011,,42652,0.5266,51977,0.8366,0.9425,0.5353,41,25,0.4395,0.0238,0.4348,0.0297,0.522,0.1691,63543,41996,64642,80275,43070,47340,944
"cty24027","Howard County, MD",69780,0.0016,,44198,0.5509,49747,0.8135,0.9677,0.735,40,24,0.4664,0.0515,0.4715,0.0462,0.5431,0.2178,59018,39159,73515,79635,42899,49954,5400
"cty24029","Kent County, MD",,,,,,,,,,,,,,,,,,,,,,,,
"cty24031","Montgomery County, MD",69668,0.0016,,44994,0.5289,50945,0.8203,0.9436,0.7206,37,25,0.4658,0.0492,0.4912,0.0499,0.6635,0.2153,64228,43357,61801,73619,42071,46941,23679
"cty24033","Prince George's County, MD",61177,0.0021,,40836,0.5213,46333,0.8253,0.9164,0.547,34,22,0.3858,0.0146,0.3996,0.0161,0.6822,0.2391,57762,40089,50634,66048,36569,42328,6168
"cty24035","Queen Anne's County, MD",40246,0,,27678,0.4656,,0.6556,,,,,0.2036,0.0049,0.0957,0.0049,0.4866,0.0843,,,,,,,62
"cty24510","Baltimore city, MD",43456,0.0085,,32065,0.4168,40004,0.7306,0.8366,0.5731,34,20,0.2142,0.0142,0.2506,0.017,0.6982,0.2016,39473,29992,41294,45811,32008,33993,1205
