"cty","Name","Household_Income_rB_gP_pall","Incarceration_Rate_rB_gP_pall","Teenage_Birth_Rate_women_only_rB_gP_pall","Individual_Income_Excluding_Spouse_rB_gP_pall","Fraction_Married_rB_gP_pall","Spouse's_Income_rB_gP_pall","Employment_Rate_rB_gP_pall","High_School_Graduation_Rate_rB_gP_pall","College_Graduation_Rate_rB_gP_pall","Hours_Worked_Per_Week_rB_gP_pall","Hourly_Wage_$/hour_rB_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rB_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rB_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rB_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rB_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rB_gP_pall","%_Staying_in_Same_Tract_as_Adults_rB_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rB_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rB_gP_pall","Household_Income_for_U.S._Natives_rB_gP_pall","Household_Income_for_Immigrants_rB_gP_pall","Individual_Income_for_U.S._Natives_rB_gP_pall","Individual_Income_for_Immigrants_rB_gP_pall","Number_of_Children_rB_gP_pall"
"cty24003","Anne Arundel County, MD",32846,0.0392,,28850,0.205,40444,0.811,0.8539,0.2498,32,18,0.1014,0.0033,0.1829,0.0039,0.7686,0.2723,31050,28314,33881,40953,29615,33649,19313
"cty24005","Baltimore County, MD",31660,0.0342,,28456,0.1785,40581,0.7797,0.8543,0.2862,29,17,0.0896,0.0014,0.1888,0.0031,0.8029,0.2406,30160,27986,32922,47859,29750,37936,46491
"cty24013","Carroll County, MD",33877,0.0351,,25690,0.3256,40632,0.7462,0.799,0.2899,23,,0.1226,0,0.15,0.0013,0.7376,0.2469,31692,24243,37404,,27179,,933
"cty24025","Harford County, MD",31981,0.0491,,27672,0.2125,39152,0.791,0.8415,0.2734,30,17,0.0842,0.0004,0.1766,0.0006,0.7273,0.2623,30581,27178,33522,41290,28002,33763,6761
"cty24027","Howard County, MD",39415,0.0245,,33405,0.263,42987,0.8221,0.9001,0.5045,34,20,0.1634,0.0068,0.2682,0.01,0.686,0.2257,36535,32012,42171,48762,35013,38959,10477
"cty24029","Kent County, MD",25453,0.0644,,22471,0.1756,36847,0.8267,0.7074,0.2383,,,0.0464,0,0.0927,0,0.6098,0.3508,22035,19685,26709,,25091,,900
"cty24031","Montgomery County, MD",38599,0.0224,,32287,0.2525,41766,0.8048,0.8805,0.3935,31,19,0.1542,0.0044,0.2512,0.007,0.7142,0.2022,37188,32020,38369,44698,32746,36909,37023
"cty24033","Prince George's County, MD",35750,0.0285,,31324,0.2038,42422,0.8052,0.8767,0.3194,30,19,0.1232,0.0014,0.2394,0.0036,0.7834,0.2364,35589,31927,36822,43142,32519,36047,148881
"cty24035","Queen Anne's County, MD",28982,0.0766,,25100,0.2411,43546,0.8235,0.8241,0.209,,,0.094,0,0.1323,0,0.6958,0.3136,25638,23946,31706,,24801,,857
"cty24510","Baltimore city, MD",24151,0.0558,,22720,0.1105,37200,0.7361,0.7551,0.1427,24,16,0.0427,0.0004,0.1192,0.0011,0.8816,0.2276,23787,22964,25455,33161,24044,28555,121313
