"cty","Name","Household_Income_rP_gP_pall","Incarceration_Rate_rP_gP_pall","Teenage_Birth_Rate_women_only_rP_gP_pall","Individual_Income_Excluding_Spouse_rP_gP_pall","Fraction_Married_rP_gP_pall","Spouse's_Income_rP_gP_pall","Employment_Rate_rP_gP_pall","High_School_Graduation_Rate_rP_gP_pall","College_Graduation_Rate_rP_gP_pall","Hours_Worked_Per_Week_rP_gP_pall","Hourly_Wage_$/hour_rP_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall","%_Staying_in_Same_Tract_as_Adults_rP_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Household_Income_for_U.S._Natives_rP_gP_pall","Household_Income_for_Immigrants_rP_gP_pall","Individual_Income_for_U.S._Natives_rP_gP_pall","Individual_Income_for_Immigrants_rP_gP_pall","Number_of_Children_rP_gP_pall"
"cty24003","Anne Arundel County, MD",50988,0.0104,,34467,0.4816,45329,0.7936,0.9056,0.429,33,20,0.2966,0.011,0.2895,0.0108,0.6632,0.2128,48362,33940,53009,57308,35159,38766,123633
"cty24005","Baltimore County, MD",48552,0.0134,,33958,0.4432,46374,0.7841,0.911,0.4497,33,20,0.278,0.0156,0.2801,0.0151,0.7227,0.2059,45492,32863,52259,59924,35517,40642,178362
"cty24013","Carroll County, MD",55721,0.0083,,35239,0.5686,44298,0.808,0.9307,0.4621,35,20,0.3188,0.0082,0.2802,0.0085,0.6065,0.1892,52972,34631,57545,52344,35744,32800,41838
"cty24025","Harford County, MD",51685,0.0123,,34595,0.5032,44810,0.8033,0.9214,0.433,33,20,0.2935,0.0092,0.2802,0.0082,0.6909,0.204,50044,34338,54638,55288,35582,38192,60966
"cty24027","Howard County, MD",60740,0.0061,,39654,0.5206,48825,0.8164,0.9492,0.6434,37,22,0.3854,0.022,0.3804,0.0231,0.5763,0.1604,55783,38013,65281,69971,41402,45412,69544
"cty24029","Kent County, MD",44891,0.0163,,31623,0.4504,42015,0.7878,0.9152,0.4489,36,17,0.2414,0.015,0.2228,0.0118,0.559,0.2815,38317,27780,49373,,33928,,3985
"cty24031","Montgomery County, MD",57519,0.0058,,38953,0.4791,49091,0.7953,0.9245,0.6419,35,22,0.3612,0.0326,0.377,0.0313,0.6148,0.1712,54343,38412,64536,58405,41257,40652,221765
"cty24033","Prince George's County, MD",39268,0.0206,,31804,0.2847,42810,0.7896,0.8845,0.3683,31,20,0.1686,0.0035,0.2509,0.005,0.717,0.2191,38012,32252,40952,47515,33074,36226,214589
"cty24035","Queen Anne's County, MD",50252,0.0133,,33099,0.5237,43481,0.7886,0.9123,0.3567,33,20,0.2761,0.01,0.2548,0.0107,0.5904,0.2198,45726,31054,54665,73949,34232,43466,10306
"cty24510","Baltimore city, MD",27591,0.0441,,23515,0.19,39674,0.7161,0.779,0.2163,26,17,0.0859,0.0037,0.1402,0.0038,0.8328,0.2161,26520,23540,30745,40197,25761,30588,161351
