"cty","Name","Household_Income_rH_gP_pall","Incarceration_Rate_rH_gP_pall","Teenage_Birth_Rate_women_only_rH_gP_pall","Individual_Income_Excluding_Spouse_rH_gP_pall","Fraction_Married_rH_gP_pall","Spouse's_Income_rH_gP_pall","Employment_Rate_rH_gP_pall","High_School_Graduation_Rate_rH_gP_pall","College_Graduation_Rate_rH_gP_pall","Hours_Worked_Per_Week_rH_gP_pall","Hourly_Wage_$/hour_rH_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rH_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rH_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rH_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rH_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rH_gP_pall","%_Staying_in_Same_Tract_as_Adults_rH_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rH_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rH_gP_pall","Household_Income_for_U.S._Natives_rH_gP_pall","Household_Income_for_Immigrants_rH_gP_pall","Individual_Income_for_U.S._Natives_rH_gP_pall","Individual_Income_for_Immigrants_rH_gP_pall","Number_of_Children_rH_gP_pall"
"cty24003","Anne Arundel County, MD",45819,0.004,,32384,0.4565,40903,0.8042,0.8455,0.3406,28,19,0.2187,0.0056,0.2313,0.0032,0.6122,0.2093,44731,32199,45798,47057,32608,33023,4202
"cty24005","Baltimore County, MD",44073,0.0094,,31750,0.4175,43191,0.7676,0.8533,0.2907,32,18,0.219,0.0124,0.2424,0.0063,0.6809,0.1903,41190,30387,44209,55989,31667,37401,4211
"cty24013","Carroll County, MD",47765,0,,31663,0.4896,47258,0.7614,0.8575,0.4307,,,0.2731,0.0055,0.2486,0.0068,0.5194,0.1851,42218,29715,40814,57986,28335,28821,507
"cty24025","Harford County, MD",45249,0.0082,,31692,0.4208,44020,0.8014,0.8534,0.4152,27,20,0.2044,0.0062,0.2135,0.0023,0.6417,0.1958,43570,32069,47373,51939,34016,35709,1568
"cty24027","Howard County, MD",50208,0.0062,,34944,0.4142,47748,0.7956,0.9469,0.5978,35,22,0.2799,0.0145,0.2877,0.0201,0.5955,0.1808,48843,34468,47416,59133,35026,40266,2410
"cty24029","Kent County, MD",39940,0.0389,,29968,0.3191,,0.734,,,,,0.2478,0.0021,0.2227,0.0021,0.5858,0.3428,25711,19188,,,,,123
"cty24031","Montgomery County, MD",47662,0.0058,,34912,0.4258,42067,0.8071,0.8313,0.4092,34,19,0.2121,0.0107,0.2548,0.0086,0.7476,0.2306,45970,34698,51786,49352,36056,36532,31224
"cty24033","Prince George's County, MD",41721,0.0087,,32383,0.3636,38706,0.7893,0.7875,0.2954,33,19,0.149,0.0036,0.2087,0.0027,0.7371,0.2444,41620,33393,41560,45129,30233,34292,18081
"cty24035","Queen Anne's County, MD",45144,0,,32012,0.4211,37759,0.7797,,,,,0.1314,0.001,0.2078,0.001,0.5955,0.182,39980,29196,,,,,132
"cty24510","Baltimore city, MD",32052,0.0213,,25937,0.2629,37005,0.7292,0.8073,0.2452,25,18,0.1075,0.0061,0.1551,0.0082,0.699,0.1797,29286,24602,36219,43604,29118,31949,3021
