"cty","Name","Household_Income_rNA_gP_pall","Incarceration_Rate_rNA_gP_pall","Teenage_Birth_Rate_women_only_rNA_gP_pall","Individual_Income_Excluding_Spouse_rNA_gP_pall","Fraction_Married_rNA_gP_pall","Spouse's_Income_rNA_gP_pall","Employment_Rate_rNA_gP_pall","High_School_Graduation_Rate_rNA_gP_pall","College_Graduation_Rate_rNA_gP_pall","Hours_Worked_Per_Week_rNA_gP_pall","Hourly_Wage_$/hour_rNA_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rNA_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rNA_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rNA_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rNA_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rNA_gP_pall","%_Staying_in_Same_Tract_as_Adults_rNA_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rNA_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rNA_gP_pall","Household_Income_for_U.S._Natives_rNA_gP_pall","Household_Income_for_Immigrants_rNA_gP_pall","Individual_Income_for_U.S._Natives_rNA_gP_pall","Individual_Income_for_Immigrants_rNA_gP_pall","Number_of_Children_rNA_gP_pall"
"cty24003","Anne Arundel County, MD",37220,0.0068,,27693,0.2975,43295,0.7598,0.9579,0.1031,,,0.1437,0.0064,0.1753,0.0064,0.6323,0.2373,38616,28052,42061,,27330,,313
"cty24005","Baltimore County, MD",32958,0.0112,,22831,0.3553,39487,0.6748,0.8249,0.1294,,,0.1183,0.0101,0.1192,0.0101,0.7992,0.2985,34341,24254,33713,,23416,,489
"cty24013","Carroll County, MD",33241,,,29246,0.2108,,0.6412,,,,,0.1067,0.0127,0.1789,0.0127,0.5702,0.1084,,,,,,,84
"cty24025","Harford County, MD",28474,0.0045,,21328,0.2941,,0.6956,,,,,0.1251,0.0333,0.1082,0.0333,0.6731,0.2152,23988,19563,,,,,109
"cty24027","Howard County, MD",47345,0,,28652,0.419,,0.7533,,,,,0.236,0.0006,0.2444,0.0006,0.607,0.1876,43240,28535,,,,,141
"cty24029","Kent County, MD",,,,,,,,,,,,,,,,,,,,,,,,
"cty24031","Montgomery County, MD",43101,0.0046,,31966,0.368,42751,0.7915,0.8271,,,,0.1785,0.0113,0.2507,0,0.6188,0.1871,40493,31322,38280,,29822,,458
"cty24033","Prince George's County, MD",36449,0.015,,31275,0.2607,42007,0.8118,0.9451,0.3687,,,0.0859,0.0003,0.2318,0.0003,0.7443,0.3018,37581,33279,34600,,33010,,586
"cty24035","Queen Anne's County, MD",,,,,,,,,,,,,,,,,,,,,,,,
"cty24510","Baltimore city, MD",21857,0.0035,,18308,0.1735,30880,0.6321,0.8353,0.2286,,,0.0393,0.0015,0.0635,0.0015,0.781,0.1982,24365,20887,28873,,23494,,523
