"cty","Name","Household_Income_rB_gP_pall","Incarceration_Rate_rB_gP_pall","Teenage_Birth_Rate_women_only_rB_gP_pall","Individual_Income_Excluding_Spouse_rB_gP_pall","Fraction_Married_rB_gP_pall","Spouse's_Income_rB_gP_pall","Employment_Rate_rB_gP_pall","High_School_Graduation_Rate_rB_gP_pall","College_Graduation_Rate_rB_gP_pall","Hours_Worked_Per_Week_rB_gP_pall","Hourly_Wage_$/hour_rB_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rB_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rB_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rB_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rB_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rB_gP_pall","%_Staying_in_Same_Tract_as_Adults_rB_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rB_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rB_gP_pall","Household_Income_for_U.S._Natives_rB_gP_pall","Household_Income_for_Immigrants_rB_gP_pall","Individual_Income_for_U.S._Natives_rB_gP_pall","Individual_Income_for_Immigrants_rB_gP_pall","Number_of_Children_rB_gP_pall"
"cty11001","District of Columbia, DC",28371,0.0467,,25740,0.1355,41147,0.7462,0.7966,0.2328,26,18,0.0739,0.0013,0.1721,0.0021,0.8495,0.255,28499,26418,29273,42079,26581,33546,85401
"cty24003","Anne Arundel County, MD",32846,0.0392,,28850,0.205,40444,0.811,0.8539,0.2498,32,18,0.1014,0.0033,0.1829,0.0039,0.7686,0.2723,31050,28314,33881,40953,29615,33649,19313
"cty24009","Calvert County, MD",34329,0.0374,,28772,0.2488,40626,0.7897,0.8432,0.2073,35,18,0.1247,0,0.2025,0,0.7563,0.3143,32191,27919,39836,,32058,,2810
"cty24017","Charles County, MD",34458,0.0375,,29652,0.2196,42546,0.7998,0.8989,0.2345,29,19,0.1254,0.0034,0.2133,0.0036,0.7812,0.2856,34169,29987,37493,46278,31687,39840,10249
"cty24031","Montgomery County, MD",38599,0.0224,,32287,0.2525,41766,0.8048,0.8805,0.3935,31,19,0.1542,0.0044,0.2512,0.007,0.7142,0.2022,37188,32020,38369,44698,32746,36909,37023
"cty24033","Prince George's County, MD",35750,0.0285,,31324,0.2038,42422,0.8052,0.8767,0.3194,30,19,0.1232,0.0014,0.2394,0.0036,0.7834,0.2364,35589,31927,36822,43142,32519,36047,148881
"cty51013","Arlington County, VA",31577,0.0526,,27289,0.1887,41201,0.7682,0.8342,0.2508,30,17,0.0987,0.0008,0.1751,0.0017,0.773,0.1925,31580,27902,29868,41031,26156,36010,3539
"cty51059","Fairfax County, VA",40734,0.0256,,33191,0.2748,43325,0.8153,0.8806,0.4229,31,19,0.1822,0.0045,0.2706,0.0058,0.6967,0.1815,40368,33838,43299,50728,35471,38560,23395
"cty51107","Loudoun County, VA",40543,0.0507,,33188,0.2769,41087,0.8296,0.8308,0.2642,29,18,0.1631,0.0017,0.2458,0.0047,0.6799,0.2012,41863,35170,45762,46532,35928,39834,3452
"cty51153","Prince William County, VA",36950,0.0361,,30540,0.2601,40836,0.7971,0.8799,0.3512,33,18,0.1429,0.0009,0.2207,0.0031,0.6657,0.1979,37277,31501,38066,45176,31277,37501,18189
"cty51510","Alexandria city, VA",31831,0.0352,,26931,0.2066,40198,0.7858,0.8293,0.3136,30,19,0.1003,0.0015,0.1757,0.0028,0.7595,0.1697,31361,27222,31686,43394,27040,35510,6877
"cty51600","Fairfax city, VA",40379,0.0229,,35404,0.2484,38654,0.8507,0.9269,,,,0.1308,0,0.2935,0.0024,0.7377,0.18,41971,37090,39642,,37402,,278
"cty51610","Falls Church city, VA",47115,0.0085,,38014,0.3355,43888,0.828,,,,,0.1682,0.0317,0.4404,0.0317,0.6745,0.3007,45776,41351,55553,,44329,,68
"cty51683","Manassas city, VA",34866,0.0579,,28886,0.2495,38945,0.7883,0.8341,0.1889,31,19,0.1339,0.0056,0.2114,0,0.7025,0.2016,34919,29201,31089,,27560,,1413
"cty51685","Manassas Park city, VA",31854,0.0722,,28356,0.1964,36753,0.7978,0.7393,,,,0.0646,0.0007,0.1588,0.0007,0.6669,0.252,30577,28842,31521,,28597,,394
