"cty","Name","Household_Income_rP_gP_pall","Incarceration_Rate_rP_gP_pall","Teenage_Birth_Rate_women_only_rP_gP_pall","Individual_Income_Excluding_Spouse_rP_gP_pall","Fraction_Married_rP_gP_pall","Spouse's_Income_rP_gP_pall","Employment_Rate_rP_gP_pall","High_School_Graduation_Rate_rP_gP_pall","College_Graduation_Rate_rP_gP_pall","Hours_Worked_Per_Week_rP_gP_pall","Hourly_Wage_$/hour_rP_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall","%_Staying_in_Same_Tract_as_Adults_rP_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Household_Income_for_U.S._Natives_rP_gP_pall","Household_Income_for_Immigrants_rP_gP_pall","Individual_Income_for_U.S._Natives_rP_gP_pall","Individual_Income_for_Immigrants_rP_gP_pall","Number_of_Children_rP_gP_pall"
"cty11001","District of Columbia, DC",32323,0.0356,,27399,0.1982,44802,0.7343,0.8175,0.3391,29,19,0.1259,0.0115,0.2038,0.0111,0.7909,0.2335,31138,27520,33876,42774,28728,32511,114990
"cty24003","Anne Arundel County, MD",50988,0.0104,,34467,0.4816,45329,0.7936,0.9056,0.429,33,20,0.2966,0.011,0.2895,0.0108,0.6632,0.2128,48362,33940,53009,57308,35159,38766,123633
"cty24009","Calvert County, MD",52553,0.0104,,35310,0.4986,44912,0.7969,0.914,0.4297,34,21,0.3109,0.008,0.312,0.0085,0.619,0.2069,51085,35154,54764,54122,36358,39307,22055
"cty24017","Charles County, MD",49104,0.0133,,34386,0.4523,43679,0.8038,0.9151,0.3525,33,20,0.2692,0.0054,0.2869,0.0065,0.6434,0.2061,47165,34306,52326,52853,35864,35752,34651
"cty24031","Montgomery County, MD",57519,0.0058,,38953,0.4791,49091,0.7953,0.9245,0.6419,35,22,0.3612,0.0326,0.377,0.0313,0.6148,0.1712,54343,38412,64536,58405,41257,40652,221765
"cty24033","Prince George's County, MD",39268,0.0206,,31804,0.2847,42810,0.7896,0.8845,0.3683,31,20,0.1686,0.0035,0.2509,0.005,0.717,0.2191,38012,32252,40952,47515,33074,36226,214589
"cty51013","Arlington County, VA",50929,0.0114,,35885,0.4409,46457,0.7881,0.9031,0.5702,34,21,0.2923,0.0202,0.3125,0.0205,0.6559,0.1715,49343,36015,56671,51526,37839,37378,31239
"cty51059","Fairfax County, VA",61707,0.0046,,40150,0.515,48291,0.8043,0.9274,0.6548,36,23,0.3916,0.0261,0.3966,0.0259,0.6155,0.1511,60905,40980,66519,61593,41650,41763,246259
"cty51107","Loudoun County, VA",59360,0.0073,,37840,0.5334,46376,0.8069,0.9159,0.5451,35,21,0.3543,0.015,0.3432,0.0127,0.5905,0.1414,60876,39672,62205,58758,38664,38450,50552
"cty51153","Prince William County, VA",50602,0.0118,,34509,0.472,43110,0.7903,0.8978,0.4411,34,20,0.2752,0.0079,0.2862,0.0087,0.5929,0.159,50414,35695,53388,52516,35036,37468,85446
"cty51510","Alexandria city, VA",45701,0.0139,,33469,0.3788,45688,0.7792,0.868,0.5632,33,21,0.2448,0.0185,0.2854,0.018,0.657,0.1512,43855,33438,52473,47341,36626,35510,21537
"cty51600","Fairfax city, VA",55013,0.0036,,37427,0.4907,45216,0.7978,0.8817,0.5346,37,22,0.3176,0.0144,0.3376,0.0138,0.6681,0.1953,54725,38388,62624,52442,40736,37980,4422
"cty51610","Falls Church city, VA",59299,0.0037,,38359,0.5216,48107,0.8006,0.9515,0.7073,34,21,0.3631,0.0182,0.3576,0.0194,0.5453,0.1382,58377,39302,65918,57375,41009,39870,2430
"cty51683","Manassas city, VA",52328,0.0109,,35463,0.4965,42510,0.8037,0.8942,0.3959,32,20,0.2906,0.0107,0.2881,0.009,0.6262,0.155,51774,35848,54484,51365,36294,37847,10380
"cty51685","Manassas Park city, VA",41691,0.0207,,29886,0.399,39421,0.7685,0.753,0.2502,30,18,0.1633,0.0017,0.1845,0.0027,0.6945,0.222,41821,31934,35166,52808,25720,33491,3200
