"cty","Name","Household_Income_rH_gP_pall","Incarceration_Rate_rH_gP_pall","Teenage_Birth_Rate_women_only_rH_gP_pall","Individual_Income_Excluding_Spouse_rH_gP_pall","Fraction_Married_rH_gP_pall","Spouse's_Income_rH_gP_pall","Employment_Rate_rH_gP_pall","High_School_Graduation_Rate_rH_gP_pall","College_Graduation_Rate_rH_gP_pall","Hours_Worked_Per_Week_rH_gP_pall","Hourly_Wage_$/hour_rH_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rH_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rH_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rH_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rH_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rH_gP_pall","%_Staying_in_Same_Tract_as_Adults_rH_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rH_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rH_gP_pall","Household_Income_for_U.S._Natives_rH_gP_pall","Household_Income_for_Immigrants_rH_gP_pall","Individual_Income_for_U.S._Natives_rH_gP_pall","Individual_Income_for_Immigrants_rH_gP_pall","Number_of_Children_rH_gP_pall"
"cty11001","District of Columbia, DC",38741,0.0101,,31201,0.3133,38950,0.7799,0.7435,0.2312,33,18,0.1208,0.0079,0.1912,0.0053,0.8332,0.25,38917,32039,37486,42054,31011,32473,11428
"cty24003","Anne Arundel County, MD",45819,0.004,,32384,0.4565,40903,0.8042,0.8455,0.3406,28,19,0.2187,0.0056,0.2313,0.0032,0.6122,0.2093,44731,32199,45798,47057,32608,33023,4202
"cty24009","Calvert County, MD",45846,0,,32299,0.4069,44328,0.7773,0.8799,0.4908,37,20,0.2121,0.0077,0.2556,0.0139,0.5579,0.1926,43382,31986,53644,,36446,,443
"cty24017","Charles County, MD",49754,0.0015,,33899,0.4645,43840,0.8253,0.9424,0.4791,32,21,0.2311,0.0065,0.2772,0.0065,0.581,0.1585,50313,34613,54678,65809,38026,46267,1031
"cty24031","Montgomery County, MD",47662,0.0058,,34912,0.4258,42067,0.8071,0.8313,0.4092,34,19,0.2121,0.0107,0.2548,0.0086,0.7476,0.2306,45970,34698,51786,49352,36056,36532,31224
"cty24033","Prince George's County, MD",41721,0.0087,,32383,0.3636,38706,0.7893,0.7875,0.2954,33,19,0.149,0.0036,0.2087,0.0027,0.7371,0.2444,41620,33393,41560,45129,30233,34292,18081
"cty51013","Arlington County, VA",45519,0.0091,,34040,0.4158,41367,0.8208,0.8126,0.2651,33,19,0.1823,0.0036,0.2157,0.004,0.8251,0.2128,45904,34756,53856,46248,37010,35715,9165
"cty51059","Fairfax County, VA",50754,0.0053,,36124,0.4533,42485,0.8074,0.8262,0.3938,35,20,0.2442,0.0104,0.2816,0.0105,0.7405,0.1985,50508,36775,54764,51648,37707,37234,31928
"cty51107","Loudoun County, VA",52485,0.0068,,36731,0.4644,42753,0.7991,0.7905,0.4129,38,21,0.2658,0.0134,0.3053,0.0114,0.7207,0.1616,52787,37141,50426,49796,34252,35756,3417
"cty51153","Prince William County, VA",47288,0.0053,,33839,0.4494,39738,0.7999,0.8086,0.3245,33,19,0.1953,0.0039,0.2425,0.0046,0.67,0.182,47194,34829,48962,49302,32185,36408,9876
"cty51510","Alexandria city, VA",42694,0.0066,,31807,0.3937,40082,0.792,0.7493,0.2895,33,19,0.1523,0.0031,0.1877,0.0028,0.7848,0.1807,41393,32386,54185,44638,34644,33799,5032
"cty51600","Fairfax city, VA",45345,0.0094,,32814,0.4019,43309,0.8,0.7106,0.2167,35,18,0.1921,0,0.2087,0,0.8053,0.2839,46049,34341,,41008,,29519,862
"cty51610","Falls Church city, VA",50004,0.0003,,33959,0.4475,50052,0.8389,0.9257,0.4187,,,0.2548,0.004,0.2159,0.0022,0.7748,0.2148,46371,32966,,33661,,28378,265
"cty51683","Manassas city, VA",44440,0.0065,,33613,0.4375,36825,0.8203,0.7229,0.3394,,,0.1848,0.0001,0.2083,0.0001,0.7029,0.1721,45050,34901,,35910,,27522,1907
"cty51685","Manassas Park city, VA",39990,0.0114,,30146,0.3512,37063,0.8073,0.6899,,,,0.098,0,0.1709,0.0014,0.8222,0.237,41440,31531,,44119,,31643,555
