"cty","Name","Household_Income_rW_gP_pall","Incarceration_Rate_rW_gP_pall","Teenage_Birth_Rate_women_only_rW_gP_pall","Individual_Income_Excluding_Spouse_rW_gP_pall","Fraction_Married_rW_gP_pall","Spouse's_Income_rW_gP_pall","Employment_Rate_rW_gP_pall","High_School_Graduation_Rate_rW_gP_pall","College_Graduation_Rate_rW_gP_pall","Hours_Worked_Per_Week_rW_gP_pall","Hourly_Wage_$/hour_rW_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rW_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rW_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rW_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rW_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rW_gP_pall","%_Staying_in_Same_Tract_as_Adults_rW_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rW_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rW_gP_pall","Household_Income_for_U.S._Natives_rW_gP_pall","Household_Income_for_Immigrants_rW_gP_pall","Individual_Income_for_U.S._Natives_rW_gP_pall","Individual_Income_for_Immigrants_rW_gP_pall","Number_of_Children_rW_gP_pall"
"cty11001","District of Columbia, DC",67280,0.0032,,43319,0.5017,55918,0.792,0.9509,0.8105,38,23,0.4583,0.0754,0.4466,0.0705,0.468,0.1207,62116,41440,69184,60583,44035,39131,13695
"cty24003","Anne Arundel County, MD",56278,0.0067,,36145,0.5403,46054,0.7994,0.9131,0.4538,34,21,0.3407,0.0126,0.3147,0.0125,0.6508,0.2019,53648,35630,57629,59190,36642,39738,93279
"cty24009","Calvert County, MD",56871,0.0082,,36884,0.5424,45494,0.8085,0.924,0.4499,34,21,0.3448,0.009,0.3341,0.009,0.6065,0.1948,56045,36934,57194,51758,37260,37157,18069
"cty24017","Charles County, MD",56966,0.007,,36916,0.5488,43969,0.8147,0.9162,0.3833,34,21,0.331,0.0059,0.3222,0.0072,0.5985,0.1796,55411,36944,59729,47336,38136,31961,21239
"cty24031","Montgomery County, MD",67725,0.0026,,42376,0.5641,51182,0.8078,0.9459,0.7152,36,23,0.448,0.0438,0.4311,0.0407,0.5485,0.1364,65030,42084,70949,65288,43245,42927,119475
"cty24033","Prince George's County, MD",55039,0.0064,,36240,0.5213,44337,0.8055,0.919,0.4721,33,21,0.3177,0.009,0.314,0.0092,0.5108,0.1598,50605,35213,56895,55195,37238,37960,33903
"cty51013","Arlington County, VA",63428,0.0048,,40780,0.5316,49858,0.8099,0.9546,0.7254,34,22,0.4055,0.0335,0.4003,0.0347,0.5245,0.1348,62646,41397,65059,65702,40774,43012,14297
"cty51059","Fairfax County, VA",68962,0.0027,,42370,0.5726,49597,0.8179,0.9466,0.7061,36,23,0.4477,0.0306,0.4279,0.0302,0.5583,0.1222,68981,43589,70888,65829,42916,42582,146258
"cty51107","Loudoun County, VA",63900,0.0043,,38980,0.5803,46839,0.8183,0.9314,0.5698,35,22,0.3889,0.0164,0.3568,0.0136,0.5555,0.1229,65924,40946,65378,62466,39533,38633,39171
"cty51153","Prince William County, VA",57750,0.0075,,36498,0.5545,44077,0.7987,0.9126,0.4687,34,20,0.3343,0.0108,0.3143,0.0107,0.5484,0.139,57807,37778,59325,56874,36720,37483,49941
"cty51510","Alexandria city, VA",64247,0.0046,,41247,0.5212,50433,0.8121,0.9085,0.7503,35,23,0.4023,0.0377,0.412,0.0381,0.5266,0.1199,64146,41759,65724,58581,41603,40319,7309
"cty51600","Fairfax city, VA",60988,0.0016,,39773,0.5416,46776,0.8188,0.9114,0.5661,40,22,0.3662,0.0192,0.3688,0.0173,0.5958,0.1592,59964,40087,65913,56346,41334,43309,2518
"cty51610","Falls Church city, VA",62747,0.0047,,39888,0.551,48522,0.8121,0.9548,0.7391,33,21,0.3865,0.0211,0.3778,0.0232,0.5105,0.1213,62489,41076,67020,61201,41424,43726,1850
"cty51683","Manassas city, VA",60040,0.004,,37962,0.5726,43996,0.8149,0.9312,0.4368,31,21,0.3512,0.014,0.3186,0.012,0.5918,0.138,59825,38196,61445,71583,38483,47270,6317
"cty51685","Manassas Park city, VA",44595,0.015,,30112,0.4645,39945,0.7565,0.7609,0.2866,29,19,0.1944,0.003,0.1897,0.0045,0.669,0.2238,43609,32589,37355,,25297,,1993
